,ID,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV Predicted by linear model
0,0,0.10612,30.0,4.93,0,0.428,6.095,65.1,6.3361,6,300.0,16.6,394.62,12.4,23.76578765384364
1,1,0.34109,0.0,7.38,0,0.493,6.415,40.1,4.7211,5,287.0,19.6,396.9,6.12,25.113260657367153
2,2,12.2472,0.0,18.1,0,0.584,5.8370000000000015,59.7,1.9976,24,666.0,20.2,24.65,15.69,15.056591241780811
3,3,0.22489,12.5,7.87,0,0.524,6.377000000000002,94.3,6.3467,5,311.0,15.2,392.52,20.45,20.63144911685233
4,4,1.8002799999999999,0.0,19.58,0,0.605,5.877000000000002,79.2,2.4259,5,403.0,14.7,227.61,12.14,21.755656707404157
5,5,0.051879999999999996,0.0,4.49,0,0.449,6.015,45.1,4.4272,3,247.0,18.5,395.99,12.86,22.55908765967996
6,6,0.32543,0.0,21.89,0,0.624,6.431,98.8,1.8125,4,437.0,21.2,396.9,15.39,19.214084068253925
7,7,0.29916,20.0,6.96,0,0.464,5.856,42.1,4.4289999999999985,3,223.0,18.6,388.65,13.0,22.183463862268816
8,8,0.033589999999999995,75.0,2.95,0,0.428,7.024,15.8,5.4011,3,252.0,18.3,395.62,1.98,33.63671683020251
9,9,11.9511,0.0,18.1,0,0.659,5.608,100.0,1.2852,24,666.0,20.2,332.09,12.13,18.179175356891434
10,10,0.07022,0.0,4.05,0,0.51,6.02,47.2,3.5549,5,296.0,16.6,393.23,10.11,25.340922553152453
11,11,1.41385,0.0,19.58,1,0.871,6.129,96.0,1.7494,5,403.0,14.7,321.02,15.12,21.53429722512207
12,12,0.27957,0.0,9.69,0,0.585,5.926,42.6,2.3817,6,391.0,19.2,396.9,13.59,20.56452971898001
13,13,9.59571,0.0,18.1,0,0.693,6.404,100.0,1.639,24,666.0,20.2,376.11,20.31,18.90730345111465
14,14,1.6566,0.0,19.58,0,0.871,6.122000000000001,97.3,1.618,5,403.0,14.7,372.8,14.1,20.424385005661517
15,15,0.0459,52.5,5.32,0,0.405,6.315,45.6,7.3172,6,293.0,16.6,396.9,7.6,26.78623309578164
16,16,0.1712,0.0,8.56,0,0.52,5.836,91.9,2.211,5,384.0,20.9,395.67,18.66,17.46411745184455
17,17,0.19186,0.0,7.38,0,0.493,6.431,14.7,5.4159,5,287.0,19.6,393.68,5.08,24.83057575328803
18,18,0.62976,0.0,8.14,0,0.5379999999999999,5.949,61.8,4.7075,4,307.0,21.0,396.9,8.26,19.205433277496102
